id	title	description	link	image_link	mobile_link	additional_image_link	availability	price	google_product_category	product_type	brand	gtin	mpn	condition	age_group	color	gender	promotion_id	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4
manifold_1758146746139231_brnd	Bone Support Advanced Redd Remedies 3 Pack 120 Caps	Redd Remedies 3 Pack 120 Capsules of our bone support product.	https://reddremedies.com/products/bone-health-advanced%E2%84%A2-3-pack-120-capsules?variant=44073387884682&fdzly=brnd	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/BHA-120-3Pack-Render-0924.0.webp?v=1743691293			in_stock	101.97 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Bone Health Advanced	Redd Remedies		CODE50044		adult				MP	bone health advanced			
manifold_1758146746139234_brnd	Gouch! - Redd Remedies 3 Pack 120 Capsules	Award-winning Gouch!™ from Redd Remedies. Support your body. 3 Pack / 120 Capsules	https://reddremedies.com/products/gouch-%E2%84%A2-3-pack-120-capsules?variant=44073553035402&fdzly=brnd	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-120-Bottle-Render-0824.0-3Pack.webp?v=1739984827			in_stock	203.97 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Redd Remedies Gouch	Redd Remedies		CODE50041						MP				
manifold_1758146746139235_brnd	Gouch Redd Remedies 3 Pack 60 Capsules	Award-winning Gouch!™ from Redd Remedies! 3 Pack / 60 Capsules	https://reddremedies.com/products/gouch-%E2%84%A2-3-pack-60-capsules?variant=44073546055818&fdzly=brnd	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-Bottle-Render-0824.0-3Pack.webp?v=1739984827			in_stock	109.62 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Redd Remedies Gouch	Redd Remedies		CODE50040						MP				
manifold_1758146746139348_brnd	Gouch! - Redd Remedies 120 Caps	Redd Remedies Gouch! 1 Bottle containing 120 caps.	https://reddremedies.com/products/gouch?variant=34271746654346&fdzly=brnd	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-120-Bottle-Render-0824.0.webp?v=1739985398			in_stock	79.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements		Redd Remedies		85573500122		adult		unisex		single	gouch			
manifold_1758146746139349_brnd	Redd Remedies Joint Health Advanced™ - 1 Pack / 60 Capsules	Joint Health Advanced™,from Redd Remedies featuring patented “super ingredient” NEM®, 1 Pack / 60 Capsules	https://reddremedies.com/products/joint-health-advanced?variant=34319422193802&fdzly=brnd	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-60-Bottle-Render-1124.0.png?v=1753710163		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-60-Carton-Render-1124.0.png?v=1753710163,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-60-Bottle-Render-1124.0.png?v=1753710163,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-60-SF_Panel-1124.0.jpg?v=1753710163,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-120-Bottle-Render-1224.0_1.png?v=1758128705,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-120-SF_Panel-1224.0.jpg?v=1758128705,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-JHA-Thumbnails--website_06-2024_callouts_1.png?v=1758128705,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-JHA-Thumbnails--website_06-2024_ingredients_1.png?v=1758128705,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-JHA-Thumbnails--website_06-2024_how-to-take_1.png?v=1758128705	in_stock	39.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Redd Remedies Joint Health Advanced	Redd Remedies		88146608034						Single				
manifold_1758146746139367_brnd	Redd Remedies Brain Awakening™ - 1 Pack / 120 Capsules	Award-winning Brain Awakening™ featuring Magtein® from Redd Remedies - 1 Pack / 120 Capsules	https://reddremedies.com/products/brain-awakening?variant=34271746850954&fdzly=brnd	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/BA-120-Bottle-Render-1224.0.png?v=1751911479		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/BA-120-Carton-Render-1224.0_1.png?v=1751911479,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/BA-120-Bottle-Render-1224.0.png?v=1751911479,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/BA-120-SF_Panel-1224.0.jpg?v=1751911479,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_BA-Callouts_01-2024.png?v=1751911479,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_BA-how-to-take_05-2024.png?v=1751911479,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_BA-Whats-inside_01-2024.png?v=1751911479	in_stock	68.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Redd Remedies Brain Awakening	Redd Remedies		85573500127						single				
manifold_1758146746139241_brnd	Redd Remedies 120/80 Care 3 Pack 60 Capsules	120/80 Care™ from Redd Remedies. 3 Pack / 60 Capsules. A holistic approach that targets all three vital factors involved.	https://reddremedies.com/products/120-80-care%E2%84%A2-3-pack-60-capsules?variant=44072835874954&fdzly=brnd	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/120_80-60-Bottle-Render-0623.0-3Pack.webp?v=1734022724			in_stock	109.62 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	120/80 Care	Redd Remedies		CODE50036		adult				MP	120-80			
manifold_1758146746139238_brnd	Redd Remedies Joint Health Original™ 3 Pack / 90 Capsules	Joint Health Original™, featuring the proven and patented “super ingredient” NEM®, 3 Pack / 90 Capsules	https://reddremedies.com/products/joint-health-original%E2%84%A2-3-pack-90-capsules?variant=44073424289930&fdzly=brnd	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHO-90-Bottle-Render-0723-3P.webp?v=1720627059			in_stock	191.25 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Redd Remedies Joint Health Original	Redd Remedies		MP39-3						MP				
manifold_1758146746139370_brnd	Nerve Shield™ Redd Remedies - 1 Pack / 60 Capsules	Redd Remedies Nerve Shield™ 1 Pack / 60 Capsules	https://reddremedies.com/products/nerve-shield?variant=34271746228362&fdzly=brnd	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/NS-60-Bottle-Render-1023.0.webp?v=1717442245		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/NS-60-Carton-Render-1023.0.webp?v=1717442245,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/NS-60-Bottle-Render-1023.0.webp?v=1717442245,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/NS-60-SF_Panel-1023.0.jpg?v=1717442245,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/NS-120-Bottle-Render-1023.webp?v=1719237134,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/NS-120-SF_Panel-1023.0.jpg?v=1719248245,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-NS-Thumbnails--website_04-2024_callouts-02_2.png?v=1719248264,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-NS-Thumbnails--website_04-2024_testimonial.png?v=1719248264,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_NS-Ingredients_08-2023_2.png?v=1717442245,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-NS-Thumbnails--website_04-2024_main-soundbite.png?v=1720637129	in_stock	39.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Redd Remedies Nerve Shield	Redd Remedies		855735001064						Single				
manifold_1758146746139373_brnd	Redd Remedies Joint Health Original™ - 1 Bottle / 30 Capsules	Joint Health Original™ from Redd Remedies, featuring the patented “super ingredient” NEM®, 1 Pack / 30 Capsules	https://reddremedies.com/products/joint-health-original?variant=34271746064522&fdzly=brnd	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHO-30-Bottle-Render-0723.0.webp?v=1720626775		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHO-30-SF_Panel-0723.0.jpg?v=1720626783,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHO-90-Bottle-Render-0723.0.webp?v=1720626775,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHO-90-SF_Panel-0723.0.jpg?v=1720626783,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-JHO-Thumbnails--website_10-2024_how-to-take.png?v=1729607064,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-JHO-Thumbnails--website_10-2024_soundbite.png?v=1729607064,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-JHO-Thumbnails--website_10-2024_callouts.png?v=1729607064	in_stock	28.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Redd Remedies Joint Health Original	Redd Remedies		88146600802						Single				
