id	title	description	link	image_link	mobile_link	additional_image_link	availability	price	google_product_category	product_type	brand	gtin	mpn	condition	age_group	color	gender	promotion_id	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4
manifold_1759417885130149_smpl	Blood Pressure Support Supplement 3 Pack / 60 Caps	Blood pressure support with award-winning 120/80 Care™.3 Pack / 60 Caps	https://reddremedies.com/products/120-80-care%E2%84%A2-3-pack-60-capsules?variant=44072835874954&fdzly=smpl	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/120_80-60-Bottle-Render-0623.0-3Pack.webp?v=1734022724			in_stock	109.62 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Blood Pressure Support Supplements	Redd Remedies		CODE50036		adult		unisex		MP	120-80			
manifold_1759417885130144_smpl	Muscle Relaxation Support Supplement - 3 Packs 60 Caps Per Bottle	Help relax sore muscles with the support supplement your body will thank you for. 3 Packs 60 Caps Per Bottle	https://reddremedies.com/products/muscle-ease%E2%84%A2-3-pack-60-capsules?variant=44073444704394&fdzly=smpl	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/ME-60-3Pack-Bottle-Render-0423.0_da0c0530-9882-48da-82d4-d35d34c5fb5b.webp?v=1702410751			in_stock	66.27 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Muscle Relaxer Supplements	Redd Remedies		CODE50045		adult				MP	muscle ease			
manifold_1759417885130138_smpl	PMS Support Supplement - 60 Caps	PMS Support Supplement herbal formula - 60 caps	https://reddremedies.com/products/pms-asap?variant=45065198600330&fdzly=smpl	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/PMS-60-Bottle-Render-0124.0.webp?v=1717165517		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/PMS-60-Bottle-Render-0124.0.webp?v=1717165517,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/PMS-60-Carton-Render-0124.0.webp?v=1717165517,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/PMS-60-SF_Panel-0124.0.webp?v=1717165633,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_PMS-ASAP-Thumbnails_05-2024_how-to-take.png?v=1718746323,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_PMS-ASAP-Thumbnails_05-2024_ingredients.png?v=1718746323,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_01_2025_PMSASAP_054_1.jpg?v=1739915487,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/PMS-testimonial-02_1.png?v=1744208436	in_stock	29.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	PMS Support Supplements	Redd Remedies		855735001729		adult		female		single	pms asap			
manifold_1759417885130262_smpl	Children’s Sinus Supplement - 60 Chewable Tablets	Sinus Support Supplement for kids. Cherry flavor chewable tablets.	https://reddremedies.com/products/childrens-sinus-support?variant=34271751045258&fdzly=smpl	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/CS-60-Bottle-Render-1024.0.webp?v=1742823380		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/CS-60-Carton-Render-1024.0.webp?v=1742823380,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/CS-60-Bottle-Render-1024.0.webp?v=1742823380,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/CS-60-SF_Panel-1024.0.webp?v=1742823380,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-Childrens-sinus-Thumbnails--website_04-2024_how-to-takewebp.webp?v=1742823380,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-Childrens-sinus-Thumbnails--website_04-2024_main-callout.webp?v=1742823380,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-Childrens-sinus-Thumbnails--website_04-2024_testimonial.webp?v=1742823380	in_stock	32.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Sinus Support Supplements	Redd Remedies		85573500107		kids		unisex		single	Sinus Support			
manifold_1759417885130258_smpl	Joint Health Support Supplement 1 Pack / 120 Caps	Joint Health Advanced™ - 1 Pack / 120 Pills Contains patented “super ingredient” NEM®	https://reddremedies.com/products/joint-health-advanced?variant=34319422226570&fdzly=smpl	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-60-Packshot-Render-1124.0.png?v=1753710163		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-60-Carton-Render-1124.0.png?v=1753710163,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-60-Bottle-Render-1124.0.png?v=1753710163,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-60-SF_Panel-1124.0.jpg?v=1753710163,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-120-Bottle-Render-1224.0_1.png?v=1758128705,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-120-SF_Panel-1224.0.jpg?v=1758128705,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-JHA-Thumbnails--website_06-2024_callouts_1.png?v=1758128705,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-JHA-Thumbnails--website_06-2024_ingredients_1.png?v=1758128705,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-JHA-Thumbnails--website_06-2024_how-to-take_1.png?v=1758128705	in_stock	78.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Joint Pain Support & Joint Health Supplements	Redd Remedies		855735001408		adult				single	Joint Health			
manifold_1759417885130140_smpl	Menopause Support Supplement - 1 Pack / 60 Capsules	Perimenopause to post-menopause support supplement. 1 Pack / 60 Capsules	https://reddremedies.com/products/menowise?variant=44091471921290&fdzly=smpl	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/MenoWise_3.png?v=1711045194		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/MenoWise_2.png?v=1711045194,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/MenoWise_3.png?v=1711045194,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/MW-60-SF_Panel-0923.0.jpg?v=1711045194,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_MenoWise-LI_01-2024.png?v=1711045194,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_MenoWise_01-2024.png?v=1711045194,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_MW-How-To-Take_01-2024.png?v=1711045194	in_stock	38.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Menopause, Perimenopause & Perimenopause Supplements	Redd Remedies		855735001750		adult		female		single	menowise			
manifold_1759417885130253_smpl	Thyroid Support Supplement - 60 Capsules	Support your thyroid - 1 Bottle 60 caps	https://reddremedies.com/products/thyroid-strong?variant=34271749931146&fdzly=smpl	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/TS-60-Bottle-Render-1124.0.webp?v=1749051284		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/TS-60-Carton-Render-1124.0.webp?v=1749051284,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/TS-60-Bottle-Render-1124.0.webp?v=1749051284,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/TS-60-SF_Panel-1124.0.webp?v=1749051284,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Thyroid-Strong_12-2023.png?v=1749051284,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_TS-How-To-Take_01-2024.png?v=1749051284,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_TS-Informational_05-2024.png?v=1749051284	in_stock	38.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Thyroid Supplements	Redd Remedies		855735001248		adult				single	thyroidstrong			
manifold_1759417885130124_smpl	Brain, Muscles, Energy, & Joint Support Supplement Stack	Handpicked by the founder and CEO, this collection features his favorite formulas. 4 Bottles containing the support you want for brain, energy, muscles, and joints.	https://reddremedies.com/products/dans-wellness-bundle?variant=45893380735114&fdzly=smpl	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/dans-bundle.webp?v=1737482798		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/ME-60-Packshot-Render-0424.0.webp?v=1739909143,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/BA-120-Packshot-Render-0224.0.webp?v=1741816348,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/JHA-60-Packshot-Render-0923.0.png?v=1741816348,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/TE-50-Packshot-Render-1023.0_420d8797-029f-43f6-836f-9d0a67f058a7.webp?v=1749051810,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Bundle-Supp-Facts--Thumbnails_MuscleEase.webp?v=1739909143,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Bundle-Supp-Facts--Thumbnails_BrainAwakening_51672ed8-f306-4695-a17d-b5513d0accab.webp?v=1741816348,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Bundle-Supp-Facts--Thumbnails_JointHealthAdvanced_f8c244bb-02cf-4b7c-b2de-ea54d0330d5a.webp?v=1741816348,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/te-bundles-suppfacts-1023.0_e2057c98-84bb-42c9-93eb-ea5c779d03e3.jpg?v=1749051810	in_stock	164.96 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Whole Body Support Supplement Stacks	Redd Remedies				adult		unisex		Pack	dan chapman’s wellness bundle			
manifold_1759417885130256_smpl	Gout Supplement - 120 Caps	Say get out to gout. Give your body what it needs to get the gout gone. 120 Caps - 1 Bottle	https://reddremedies.com/products/gouch?variant=34271746654346&fdzly=smpl	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-120-Bottle-Render-0824.0.webp?v=1739985398		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-Carton-Render-0824.0.webp?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-Bottle-Render-0824.0.webp?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-SF_Panel-0824.0.webp?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Gouch-Ingredients-TN_02-2025.png?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Gouch-Callouts-TN_04-2024.png?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Gouch-how-to-take-TN_04-2024_6c22daa7-03b1-40ea-b2f6-a4b0d381e720.png?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-120-Bottle-Render-0824.0.webp?v=1739985398	in_stock	79.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Gout Treatment > Gout Supplements	Redd Remedies		85573500122		adult				single	gouch			
manifold_1759417885130254_smpl	Blood Pressure Support Supplement - 1 Pack / 60 Caps	Blood pressure support with award-winning 120/80 Care™. 1 Pack / 60 Caps	https://reddremedies.com/products/120-80-care?variant=34271749439626&fdzly=smpl	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/120_80-60-Packshot-Render-0623.0.webp?v=1741816466		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/120_80-60-Carton-Render-0623.0.webp?v=1734022430,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/120_80-60-Bottle-Render-0623.0.webp?v=1734022430,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/120_80-60-SF_Panel-0623.0.jpg?v=1734022430,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-120-80-Thumbnails--website_04-2024_callouts.png?v=1734022430,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-120-80-Thumbnails--website_04-2024_graphic.png?v=1734022430,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR-120-80-Thumbnails--website_04-2024_how-to-take.png?v=1734022430	in_stock	42.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Blood Pressure Support Supplements	Redd Remedies		85573500131		adult				single	120-80			
